id,name,rating,posts,likes,comments,r_shares,r_comments,r_likes,r_commentLikes
10153472936346049,Rubén Alonso Ocampo Zavala,187,0,80,7,0,0,0,6
956747864444574,EsteBan Dido,2463,0,1044,76,0,0,0,147
10206681136812402,Danny Vunshtein,40,0,20,0,0,0,0,0
10207840381469497,Fiona van Hek,111,0,35,8,0,0,0,17
10155756743645456,Jacob Paul,288,8,50,13,2,18,10,27
991513354275249,Jhon Antony,5085,18,1430,41,14,57,881,23
995219607232652,Josh Ladevich,3821,18,361,59,14,116,1172,84
1215722438439856,Elias Dragon Coca Ovando,59,0,22,5,0,0,0,0
10206913937942957,Rachel Namtalov,860,5,199,77,0,18,26,100
1155705504462893,Maykeul YussOn,908,2,242,15,0,5,131,92
10153983965754078,Rémi Kaing,549,5,132,22,0,9,73,21
10204582045470628,Frank Du,124,0,48,8,0,0,0,4
10208867047018540,Thibault Gassmann,4366,51,421,101,37,166,1086,148
1000099370043535,Simon Brunner,1726,5,282,123,0,49,212,197
1726675094212381,Wajdi Baya,7261,5,3447,21,0,32,85,13
1684087645211106,Sontuan Duong,114,0,57,0,0,0,0,0
10209000716681144,Giancarlo Zapata,1469,4,167,62,15,46,336,59
10207196040398102,Juan Molina Ochando,3347,7,1255,18,0,27,324,19
1289614114386787,Jérémy Fellrath,1518,12,112,202,1,43,137,221
1064721116892430,Alexis Chotel,1009,5,424,12,2,11,23,13
10206941330585838,Marko Miks,1459,11,149,108,2,78,214,112
